step,v3_dynamic_heretics_mean,v3_dynamic_heretics_std,v3_total_heretics_mean,v3_total_heretics_std,v3_synchrony_mean,v3_synchrony_std,v3_entropy_mean,v3_entropy_std,v4_dynamic_heretics_mean,v4_dynamic_heretics_std,v4_total_heretics_mean,v4_total_heretics_std,v4_synchrony_mean,v4_synchrony_std,v4_entropy_mean,v4_entropy_std
0,0.0,0.0,15.0,0.0,0.7737012609589271,0.04378179517283758,5.317354811001209,0.05741556478963296,0.0,0.0,15.0,0.0,0.7737012609589271,0.04378179517283758,5.317354811001209,0.05741556478963296
50,0.0,0.0,15.0,0.0,1.7192834427538117,0.039270262518730004,5.062363561613757,0.04165069405814304,0.0,0.0,15.0,0.0,1.7192834427538117,0.039270262518730004,5.062363561613757,0.04165069405814304
100,0.0,0.0,15.0,0.0,1.8303931611804258,0.06651826698915833,4.563281280392237,0.05007596009674059,0.0,0.0,15.0,0.0,1.8303931611804258,0.06651826698915833,4.563281280392237,0.05007596009674059
150,0.0,0.0,15.0,0.0,1.6822700180439032,0.05224681916879545,4.735067399141417,0.12290727227562002,0.0,0.0,15.0,0.0,1.6822700180439032,0.05224681916879545,4.735067399141417,0.12290727227562002
200,0.0,0.0,15.0,0.0,1.8169046664848298,0.018889927146214822,4.694613544876451,0.17318256468153365,0.0,0.0,15.0,0.0,1.8169046664848298,0.018889927146214822,4.694613544876451,0.17318256468153365
250,0.0,0.0,15.0,0.0,1.9513354280481043,0.06354875776117536,4.322398157933941,0.01458660012389569,10.2,2.2271057451320084,25.2,2.2271057451320084,1.967342487194249,0.06626660219730174,4.489272136267029,0.04125287142315281
300,0.0,0.0,15.0,0.0,1.826554949496512,0.08332027462208667,4.4667888033707275,0.05655626356068899,20.8,4.261455150532504,35.8,4.261455150532504,1.871706731700947,0.0883196076772379,4.530386193730505,0.06982966605000343
350,0.0,0.0,15.0,0.0,1.6684336144408873,0.10213120648883764,4.663472463962191,0.09166931292082629,24.0,5.059644256269407,39.0,5.059644256269407,1.7312342572337212,0.11199143487926957,4.733975735900647,0.10545344772780624
400,0.0,0.0,15.0,0.0,1.54173441478348,0.12676047951340796,4.955092947725306,0.1979091608629696,24.4,5.571355310873647,39.4,5.571355310873647,1.6158872610331714,0.1389900065001312,4.984278286423843,0.10493187186580624
450,0.0,0.0,15.0,0.0,1.6878876551710686,0.08835774079894033,5.086817415878724,0.1574865890487016,25.4,5.3516352641038605,40.4,5.3516352641038605,1.7589942131757461,0.1013888170139268,5.165151355820185,0.05205869898720979
500,0.0,0.0,15.0,0.0,1.8446054476050133,0.037576565507294726,5.072789406727068,0.1335405443121649,26.4,5.238320341483518,41.4,5.238320341483518,1.912341959635518,0.0344533694063412,5.136240773636515,0.13998176990630423
550,0.0,0.0,15.0,0.0,1.8762955388441156,0.07055856610747017,5.169104850489229,0.11510970241089188,32.8,6.8527366796047255,47.8,6.8527366796047255,1.9523316433545854,0.06341967471353972,5.219983561514708,0.049980648440609135
600,0.0,0.0,15.0,0.0,1.8828563058173426,0.05175469493692884,5.000784248960099,0.09774311730380061,42.8,7.833262411026456,57.8,7.833262411026456,1.9920397888414036,0.060882904824595,4.9983638917721045,0.0969080165085935
650,0.0,0.0,15.0,0.0,1.9701308418219874,0.03946864382605692,4.6640340490792935,0.14564541674381906,53.2,7.332121111929345,68.2,7.332121111929345,2.101232188255622,0.06277834496866583,4.6401464399842975,0.21664446001621415
700,0.0,0.0,15.0,0.0,2.1087623986059705,0.0992323351064631,4.314235347150712,0.2492605993248243,65.2,4.955804677345547,80.2,4.955804677345547,2.254442332160681,0.0750551032068171,4.307060520539429,0.2660357380770717
750,0.0,0.0,15.0,0.0,2.085609110755139,0.10582857642591509,4.186971623105623,0.28209647860241543,72.4,3.261901286060018,87.4,3.261901286060018,2.2609636411849805,0.085618709805388,4.046612434907229,0.27331909117258457
800,0.0,0.0,15.0,0.0,1.9962669837178009,0.09368613249174418,4.0748248826318845,0.24565295765830283,76.2,2.9257477676655586,91.2,2.9257477676655586,2.1952237210505197,0.07020256947950097,3.9620852777659517,0.23065812689367196
850,0.0,0.0,15.0,0.0,1.9123657658351747,0.0773987899402816,3.9731526087672124,0.23219319049779075,78.8,2.993325909419153,93.8,2.993325909419153,2.132615803961225,0.06534494849123142,3.795607573480679,0.178693492361914
900,0.0,0.0,15.0,0.0,1.8142375172684897,0.061847861247430434,3.9055524682334415,0.2272882033624016,79.8,3.655133376499413,94.8,3.655133376499413,2.0492563852170917,0.05521026231534141,3.6704674668760666,0.19772322637151657
950,0.0,0.0,15.0,0.0,1.7198700477261284,0.05089411525273685,3.8123516986152985,0.22698225708152775,80.6,3.1999999999999997,95.6,3.1999999999999997,1.9714728344986252,0.048791721180718485,3.574270963556542,0.13403058517213587
1000,0.0,0.0,15.0,0.0,1.6396387315445597,0.04328251635751824,3.806620244887346,0.14579939919086712,80.8,2.9933259094191533,95.8,2.9933259094191533,1.9010818407364316,0.04165937440093447,3.4455900451955634,0.11166757042170752
1050,0.0,0.0,15.0,0.0,1.5781797033030838,0.03707798616214677,3.828692568050714,0.09428591501112421,81.4,2.576819745345025,96.4,2.576819745345025,1.8412346672701294,0.03381460349247224,3.363831259977668,0.1215560774143333
1100,0.0,0.0,15.0,0.0,1.5379871898343322,0.032765936245009966,3.8651424769022475,0.12358410293949472,81.4,2.576819745345025,96.4,2.576819745345025,1.7927284339328267,0.027667913566381028,3.23846381098744,0.17929167057926698
1150,0.0,0.0,15.0,0.0,1.5174945038328,0.02312615292547678,3.884264710632838,0.143935073674025,81.4,2.576819745345025,96.4,2.576819745345025,1.7533584143549752,0.021409907952123854,3.0685166398019037,0.13216793967325924
1200,0.0,0.0,15.0,0.0,1.5426313873524902,0.032445326283408765,3.8304362378043884,0.1248440221005659,81.4,2.576819745345025,96.4,2.576819745345025,1.72799519355687,0.024917998879305066,2.9200120469270283,0.1935495257429406
1250,0.0,0.0,15.0,0.0,1.556039370527247,0.04246930972845893,3.7814196704869345,0.15917209133558766,81.4,2.576819745345025,96.4,2.576819745345025,1.7022628797617743,0.022315105528779085,2.7596342435017833,0.21318043372549758
1300,0.0,0.0,15.0,0.0,1.5812648546753187,0.059914296823086605,3.7422358190586835,0.19866603490358603,81.6,2.33238075793812,96.6,2.33238075793812,1.690175658136243,0.02886617621070994,2.752001299179784,0.21076983894607704
1350,0.0,0.0,15.0,0.0,1.597490384582232,0.06967784136655528,3.762796475910099,0.14363261480226927,81.6,2.33238075793812,96.6,2.33238075793812,1.6785805037755903,0.028712542153557865,2.6926904413374144,0.22872764967985967
1400,0.0,0.0,15.0,0.0,1.6026101169266418,0.060345342852637505,3.722360156190578,0.11199131201833097,81.8,2.1354156504062622,96.8,2.1354156504062622,1.6717283073365183,0.028571687688925266,2.688350558744718,0.1960444453781659
1450,0.0,0.0,15.0,0.0,1.5990142836100472,0.047769127895369495,3.773113772301888,0.10737265742705798,82.0,2.0,97.0,2.0,1.6667694714701722,0.02947721498566122,2.680116135706957,0.2016859380654279
1500,0.0,0.0,15.0,0.0,1.5979492432097793,0.038336643375430836,3.750850266357174,0.1852256773629383,82.0,2.0,97.0,2.0,1.6630151065704766,0.02700158425732399,2.618950953653504,0.18447415992833188
1550,0.0,0.0,15.0,0.0,1.5970960215479002,0.03462358281666073,3.731211885291941,0.19233850567335115,82.0,2.0,97.0,2.0,1.6598187456953384,0.024797416154112923,2.594514126755249,0.15857856115085148
1600,0.0,0.0,15.0,0.0,1.5950404609190443,0.036755400747707,3.716036767025173,0.13168456328960781,82.2,1.7204650534085253,97.2,1.7204650534085253,1.6585733470462187,0.02172935848695835,2.5823911380881124,0.20110821573812757
1650,0.0,0.0,15.0,0.0,1.592738630769952,0.0379488465520071,3.6779527315660006,0.07782573693983481,82.4,1.624807680927192,97.4,1.624807680927192,1.6582489315003044,0.020514307604351505,2.586347056591188,0.15030122019862652
1700,0.0,0.0,15.0,0.0,1.5911682590898788,0.0357943085114633,3.62297557598714,0.07015917615456636,82.6,1.624807680927192,97.6,1.624807680927192,1.6584132540824594,0.016691398677635975,2.5851522138645486,0.156130216996899
1750,0.0,0.0,15.0,0.0,1.591830678799284,0.029838998138739685,3.578240677268542,0.09759355242256713,82.6,1.624807680927192,97.6,1.624807680927192,1.656821974354229,0.014576483201063086,2.5791348663486042,0.17524200622226319
1800,0.0,0.0,15.0,0.0,1.5948989944866623,0.023535175113330867,3.5167614808416006,0.15661027005838002,82.6,1.624807680927192,97.6,1.624807680927192,1.6558136393313219,0.012071715608928526,2.5082717007409614,0.11602729133006288
1850,0.0,0.0,15.0,0.0,1.5987583215957595,0.017384654118284378,3.5053076866799673,0.12439386342315398,82.6,1.624807680927192,97.6,1.624807680927192,1.6553362777530922,0.009886071180185517,2.5288539155662653,0.1316844932010752
1900,0.0,0.0,15.0,0.0,1.5984978625254669,0.01730826140784034,3.5609057001895748,0.11054848037071241,82.6,1.624807680927192,97.6,1.624807680927192,1.6537542777512766,0.007729533339823594,2.500102810750401,0.14283020730362314
1950,0.0,0.0,15.0,0.0,1.5956523081259677,0.021927706193204062,3.5764053344726845,0.06050701361498748,82.6,1.624807680927192,97.6,1.624807680927192,1.652443570094848,0.006091789527933976,2.5009297629005127,0.12165310006710302
2000,0.0,0.0,15.0,0.0,1.594795295786533,0.02726521388631994,3.5931928765687275,0.08555057328429619,82.6,1.624807680927192,97.6,1.624807680927192,1.651718706139075,0.00448349007014057,2.5131539783245214,0.13683936568995192
2050,0.0,0.0,15.0,0.0,1.5964937204383847,0.029110238257186977,3.5787252636119584,0.10491040285292594,82.8,1.7204650534085253,97.8,1.7204650534085253,1.6525095824123632,0.0028166747782745216,2.4464297021945387,0.10533968213122166
2100,0.0,0.0,15.0,0.0,1.6004896315985815,0.026950493157994936,3.581470443722556,0.10203916830000836,82.8,1.7204650534085253,97.8,1.7204650534085253,1.6531780680520753,0.003477325443653957,2.4476096687701756,0.1287676757565175
2150,0.0,0.0,15.0,0.0,1.605330957159699,0.019799887781825298,3.535751346289215,0.11168423051206476,82.8,1.7204650534085253,97.8,1.7204650534085253,1.6532923437989027,0.004910961447641262,2.474180249481484,0.1215883068024843
2200,0.0,0.0,15.0,0.0,1.6117619141860025,0.014121602596208049,3.532531959703379,0.14353888291562794,82.8,1.7204650534085253,97.8,1.7204650534085253,1.654549769362406,0.004472252576392031,2.493952743525252,0.135294922023925
2250,0.0,0.0,15.0,0.0,1.6141724851378405,0.010102903998760134,3.4902665677925127,0.13807993058978568,82.8,1.7204650534085253,97.8,1.7204650534085253,1.653897566218563,0.004818575311522463,2.456012898311001,0.1384882235832361
2300,0.0,0.0,15.0,0.0,1.6142888718347503,0.012135180678843773,3.496641018733613,0.13242131483696437,82.8,1.7204650534085253,97.8,1.7204650534085253,1.654155239384039,0.004425389641658878,2.4242474234635867,0.13076398075404885
2350,0.0,0.0,15.0,0.0,1.6119124780320555,0.014847951166824603,3.5070954630183566,0.09418569864823996,83.2,1.16619037896906,98.2,1.16619037896906,1.6560012943189555,0.00680735367625686,2.459095268140745,0.1575618308495339
2400,0.0,0.0,15.0,0.0,1.60798437813418,0.01919219458287496,3.5372337882336167,0.0892402682528811,83.2,1.16619037896906,98.2,1.16619037896906,1.6572289310338455,0.00941552196941722,2.474568218819341,0.14827540966600883
2450,0.0,0.0,15.0,0.0,1.6067977295684948,0.022833704004958728,3.607731300241582,0.10383975564668262,83.2,1.16619037896906,98.2,1.16619037896906,1.6580360475192026,0.008549081535021364,2.452556348051978,0.1714047761192996
2500,0.0,0.0,15.0,0.0,1.6076653533662841,0.02323217139939029,3.5469355986412068,0.1276907430322401,83.6,1.019803902718557,98.6,1.019803902718557,1.6601134381618643,0.012129193333064512,2.4676606577599713,0.2085344014637616
2550,0.0,0.0,15.0,0.0,1.609459616442623,0.023017386208314308,3.5234594941290505,0.10851057884315715,83.6,1.019803902718557,98.6,1.019803902718557,1.6598800130860814,0.011579516760257782,2.4579690160298235,0.20576507683353087
2600,0.0,0.0,15.0,0.0,1.6108087597817449,0.02059866944584837,3.4996937727239237,0.13084132279826094,84.0,1.0954451150103321,99.0,1.0954451150103321,1.6604885535709264,0.011867639231147331,2.444994506080234,0.19313145393555342
2650,0.0,0.0,15.0,0.0,1.6120698459184901,0.017749645442904135,3.5043174591220385,0.11576386468388228,84.2,0.7483314773547882,99.2,0.7483314773547882,1.6618624099200427,0.010028448188205133,2.453168952689752,0.19372438789836918
2700,0.0,0.0,15.0,0.0,1.6122352875592931,0.018130855475640955,3.497097759993325,0.10301185260024343,84.2,0.7483314773547882,99.2,0.7483314773547882,1.6628149617097818,0.008370474530237657,2.460511925387689,0.20846335553725787
2750,0.0,0.0,15.0,0.0,1.6098070805424356,0.02160794261713848,3.527777533262113,0.0891593688762831,84.2,0.7483314773547882,99.2,0.7483314773547882,1.6623600313612372,0.007348182400327842,2.437720328570585,0.18592920933652213
2800,0.0,0.0,15.0,0.0,1.6074457265012696,0.024438615779166752,3.51985638203639,0.07794336440943375,84.2,0.7483314773547882,99.2,0.7483314773547882,1.6616917785548135,0.005400491576908415,2.435979863353132,0.15622498650705605
2850,0.0,0.0,15.0,0.0,1.6079822948593918,0.023955851889612488,3.500642183984,0.09519457765535774,84.2,0.7483314773547882,99.2,0.7483314773547882,1.6618519736301895,0.005392086469843151,2.4223952614853204,0.13769217499953998
2900,0.0,0.0,15.0,0.0,1.607304554526758,0.023697419875517624,3.512691949349324,0.09054713082076041,84.2,0.7483314773547882,99.2,0.7483314773547882,1.6608834349548254,0.005534888804617241,2.420691903731627,0.07294450241005164
2950,0.0,0.0,15.0,0.0,1.6084949267451372,0.021677733286393802,3.52645337532672,0.11617342098248348,84.2,0.7483314773547882,99.2,0.7483314773547882,1.6608018734426253,0.006121853974705917,2.41194892805136,0.1253828758763817
3000,0.0,0.0,15.0,0.0,1.609480233592432,0.018754503129220806,3.5035764473907043,0.12845375374445756,84.4,0.4898979485566356,99.4,0.4898979485566356,1.6613596720307882,0.005272088636532383,2.355305833751026,0.12182968949261218
3050,0.0,0.0,15.0,0.0,1.6110304068286223,0.017824743210029165,3.492934224899264,0.13722634179370866,84.6,0.4898979485566356,99.6,0.4898979485566356,1.6630447752922008,0.007324394335454285,2.393496630906283,0.07776035296565231
3100,0.0,0.0,15.0,0.0,1.6111490145974527,0.02056987254731867,3.4300657150695946,0.13278774285745024,84.6,0.4898979485566356,99.6,0.4898979485566356,1.6635122474967492,0.007476553991210511,2.405474053131177,0.06077353893899641
3150,0.0,0.0,15.0,0.0,1.6109047780345453,0.022466466482571012,3.4611523659828456,0.11773930698213633,84.6,0.4898979485566356,99.6,0.4898979485566356,1.6645271217868582,0.00851014421304418,2.38325065850618,0.10274013248899351
3200,0.0,0.0,15.0,0.0,1.6090946272470592,0.024250114772090284,3.5159222750693844,0.0893545703517807,84.6,0.4898979485566356,99.6,0.4898979485566356,1.6642595145320633,0.008120276860665587,2.3934813954527643,0.129258153308042
3250,0.0,0.0,15.0,0.0,1.6065738856490899,0.023977346952136512,3.5159083012638193,0.07160633774984364,84.6,0.4898979485566356,99.6,0.4898979485566356,1.6632840533422122,0.008347969064993696,2.35204492701402,0.1442505918202643
3300,0.0,0.0,15.0,0.0,1.6050245642019956,0.023463485278839825,3.523738834613403,0.12489276325433261,84.6,0.4898979485566356,99.6,0.4898979485566356,1.6634377583887556,0.008266069120058816,2.3384468665392886,0.04470553148716566
3350,0.0,0.0,15.0,0.0,1.606098703220987,0.022622808262509602,3.517218692993054,0.12568604170142703,84.6,0.4898979485566356,99.6,0.4898979485566356,1.6638904149086735,0.008176866710517417,2.358627041945757,0.09052832520004285
3400,0.0,0.0,15.0,0.0,1.6091643595607725,0.02117516181716408,3.446760412044493,0.12330399228490514,84.8,0.4,99.8,0.4,1.6652684274940086,0.007800759684120659,2.374713990814992,0.07230703289426771
3450,0.0,0.0,15.0,0.0,1.612118077242679,0.02093422347568545,3.416523574227964,0.1312620391801933,84.8,0.4,99.8,0.4,1.6668096825342211,0.007905921414608096,2.3473062152692283,0.03246625451806904
3500,0.0,0.0,15.0,0.0,1.6117689345604522,0.02213607092656867,3.4586261624341033,0.12979473855431575,84.8,0.4,99.8,0.4,1.666766373433704,0.00801635072726824,2.3574717510741983,0.03728669863149943
3550,0.0,0.0,15.0,0.0,1.609871882506798,0.022885534979089114,3.495164087999018,0.11885523411623167,84.8,0.4,99.8,0.4,1.6680826279367842,0.008310061201389055,2.3575985391695147,0.05345525973715594
3600,0.0,0.0,15.0,0.0,1.607688389792873,0.024021355075339302,3.4979572683754405,0.08759560255644609,84.8,0.4,99.8,0.4,1.6683308959236207,0.007753583865358873,2.4030606289771423,0.06946172331509996
3650,0.0,0.0,15.0,0.0,1.6062071192253555,0.024293645785479958,3.4930665574983477,0.12347032689950367,84.8,0.4,99.8,0.4,1.6681625932662687,0.009384110943560895,2.3459982652953277,0.06158512824709199
3700,0.0,0.0,15.0,0.0,1.606426698893916,0.0247487381475533,3.4437599553976126,0.09521018163493239,84.8,0.4,99.8,0.4,1.6682300253537856,0.008575257089348377,2.4010298307685067,0.10708714504312898
3750,0.0,0.0,15.0,0.0,1.6073527056351202,0.024933028251908792,3.479971506104868,0.10293478295298818,84.8,0.4,99.8,0.4,1.6689440558765807,0.007949363783961518,2.3619230875755015,0.04873575109272117
3800,0.0,0.0,15.0,0.0,1.6072762093402848,0.024841304208819477,3.4971105689185813,0.1449383227116161,84.8,0.4,99.8,0.4,1.6690511492273372,0.008610186842894949,2.3188198594140883,0.10039091372931729
3850,0.0,0.0,15.0,0.0,1.6074224466085216,0.02355053870236915,3.5362832289481387,0.12442204140385499,84.8,0.4,99.8,0.4,1.6701252717517996,0.008201997028640124,2.346465195712286,0.03766267039575082
3900,0.0,0.0,15.0,0.0,1.6080750432699484,0.024075064281934695,3.4921099929634614,0.13646644311321943,84.8,0.4,99.8,0.4,1.6702474143164623,0.008403152580559882,2.3502980829515674,0.06480567550729593
3950,0.0,0.0,15.0,0.0,1.6102979722777928,0.021621881660061588,3.4738259867164003,0.13382189308831569,84.8,0.4,99.8,0.4,1.6710951023327776,0.008849158871703813,2.35732045165474,0.03541692851838081
4000,0.0,0.0,15.0,0.0,1.6107816393368128,0.021688459938539715,3.463653933386601,0.16014834338489722,84.8,0.4,99.8,0.4,1.6711032257483744,0.009139206109880671,2.295736544774546,0.06210791292059487
4050,0.0,0.0,15.0,0.0,1.6102052408087943,0.021987317375041587,3.503923449640933,0.08884621426391481,84.8,0.4,99.8,0.4,1.6712632584057858,0.00905840355058687,2.3209431587730727,0.049674567278891225
4100,0.0,0.0,15.0,0.0,1.610042042223903,0.021317451987887346,3.4705854129815834,0.11803860574455305,84.8,0.4,99.8,0.4,1.6716001563969196,0.008948212316217521,2.32872237051938,0.04281612151324077
4150,0.0,0.0,15.0,0.0,1.609436342820894,0.021558120063241062,3.492344674351967,0.1045849959137121,84.8,0.4,99.8,0.4,1.6715725098685315,0.008674091741521985,2.351571831400875,0.0649742239730899
4200,0.0,0.0,15.0,0.0,1.610196759158327,0.020592891763828922,3.4844160726655895,0.14529704734768237,84.8,0.4,99.8,0.4,1.672296086003966,0.009019285568421073,2.365852713490001,0.07296306053407707
4250,0.0,0.0,15.0,0.0,1.6106686168049174,0.020536018433317215,3.4583303286376945,0.13475970595008838,84.8,0.4,99.8,0.4,1.6730453041376356,0.009320712798085119,2.365704757207788,0.07252254823806786
4300,0.0,0.0,15.0,0.0,1.610927501166748,0.0211920311256662,3.4580448210784818,0.10828063522399597,84.8,0.4,99.8,0.4,1.6729398123585593,0.009523761306428595,2.3182631787243015,0.01807863629421749
4350,0.0,0.0,15.0,0.0,1.6107970191471992,0.022154093480246335,3.4640871989367135,0.13587129426710534,84.8,0.4,99.8,0.4,1.6735682037315862,0.009497752381430101,2.3136936155736736,0.11041479044404298
4400,0.0,0.0,15.0,0.0,1.6093726483253028,0.023510721591500815,3.504435324614125,0.11176650644449719,84.8,0.4,99.8,0.4,1.6739983671721048,0.009428663732938582,2.3294860574163696,0.07332859286071887
4450,0.0,0.0,15.0,0.0,1.609394676463173,0.024011953109247145,3.495099427409208,0.0936672876548438,84.8,0.4,99.8,0.4,1.675205392531278,0.008883637179690092,2.3831848352369116,0.07873140645376968
4500,0.0,0.0,15.0,0.0,1.6099596949921224,0.02248911109535775,3.4755945489845628,0.11509594918773611,84.8,0.4,99.8,0.4,1.6753314737929095,0.009768022783913087,2.348483216129977,0.05829976882819564
4550,0.0,0.0,15.0,0.0,1.609585949108863,0.02062702989856388,3.4463164692256205,0.18423635644241884,84.8,0.4,99.8,0.4,1.6750948575074567,0.009831745075475243,2.3173006460311045,0.10374439420501935
4600,0.0,0.0,15.0,0.0,1.6090022634865846,0.020789709442085073,3.4212943844849235,0.1398199373137181,84.8,0.4,99.8,0.4,1.6750296894792975,0.01000986065220468,2.327989773496326,0.059448053996937714
4650,0.0,0.0,15.0,0.0,1.6090932422957551,0.021610302406696726,3.4813733801547384,0.08431608384232178,84.8,0.4,99.8,0.4,1.6756478566420363,0.009168113617386113,2.3322135043204675,0.060981923146222784
4700,0.0,0.0,15.0,0.0,1.6086014538474633,0.02487557219385064,3.5194207989015993,0.10248070498295771,84.8,0.4,99.8,0.4,1.6768126663770726,0.00849406955127592,2.3390475455702378,0.07071929930658122
4750,0.0,0.0,15.0,0.0,1.6058396761195808,0.02719511400585372,3.4936340131946233,0.13151330125764646,84.8,0.4,99.8,0.4,1.6763339854771566,0.008871435734980494,2.3222652965485726,0.06533711336168052
4800,0.0,0.0,15.0,0.0,1.6050297544408878,0.028873855158306438,3.5536049381189514,0.13404226324389037,84.8,0.4,99.8,0.4,1.6767037299339311,0.009157123787429604,2.340821047418415,0.017915029122436466
4850,0.0,0.0,15.0,0.0,1.6059009742315609,0.027013869917483835,3.5548500446124427,0.11261472318352668,84.8,0.4,99.8,0.4,1.677003535550238,0.009296624922355086,2.337254621858546,0.08348473028164101
4900,0.0,0.0,15.0,0.0,1.6093282065296575,0.022050011472380202,3.4795789900974854,0.1262393678235306,84.8,0.4,99.8,0.4,1.6777763083289094,0.008244894349695716,2.364449882464181,0.051882879047251015
4950,0.0,0.0,15.0,0.0,1.6132505779826132,0.01932652774318825,3.414235434624035,0.1252446092553165,84.8,0.4,99.8,0.4,1.678103869730041,0.009255880256889695,2.3316391055499914,0.1107246388101203
